n_storey,n_bays,bay_length_m,storey_height_m,fc_mpa,fy_mpa,beam_depth_mm,column_dim_mm,beam_rho,column_rho,gravity_kn_m2,Vy,dy,Vmax,dmax,Vc,dc
2,4,5.316635319256157,3.4010185439379677,34.249992552127914,409.41773478876496,691.4678230728646,692.5128658956588,0.02179096457915431,0.014946613551537556,6.251929689477835,841.0074349188502,0.017750769292689834,986.0596005716527,0.034552372263452355,784.5150754978666,0.0642545776089455
2,3,4.191451768312526,3.3793418203948073,33.00162358331923,475.8087740085374,474.08408884545395,786.8141109777065,0.023396816819832966,0.029902820432696525,4.973193539259838,831.7195893803979,0.016902977622443447,1008.7884761305246,0.03233480004119092,853.4999554688605,0.06365159219942734
3,2,5.111379118104606,3.1286890678930654,24.59995582260143,412.99215053354715,516.4967241790769,452.10920707289785,0.020047209920237657,0.02205449413406361,8.163390980289186,630.1230165054211,0.025601984216450265,789.3964113179766,0.04816205312253985,640.6391215412618,0.09879312033493752
2,4,4.41925745082793,2.9399357417325755,21.139883125269105,478.69243775021386,582.6977998072113,667.3244203818508,0.02171093546532952,0.02255506283738182,6.843705979764469,746.4460889708796,0.0163203024600438,883.393095544657,0.030675498461550484,659.6239767712221,0.059052236602601935
4,3,5.660738201973988,3.1914450125217892,26.77505186318963,403.0817834567939,502.8510862313268,446.56310276878816,0.016127929655869542,0.031628270685167825,5.169697429326703,719.7023004773329,0.03243942390749255,926.9016505824061,0.06251951544628886,702.535504496003,0.1250302210970043
5,3,5.219160584320211,3.3698142692662243,24.172485478246372,402.27120731338607,381.5167512714746,675.0617077684026,0.01692815845377081,0.01570925091777284,6.505223875516817,818.3703928819531,0.043689310656132116,1007.4127827007771,0.08115146146748019,744.3858000837706,0.16673113303448553
4,3,4.262949757948303,2.8826041314843605,39.27605562644078,490.85806907076073,594.8974968337624,469.6414826567838,0.024537645660215858,0.02991127079121328,7.584450945794978,815.2839002941453,0.03057439416904762,993.7905823924312,0.05757976634904574,848.0064163995623,0.10984448837918814
4,2,5.7376587068256875,2.923740948057462,37.27567139775513,475.851952983521,601.8120345828279,544.4418678987967,0.01940963261053665,0.025434253284992922,7.2492330077741,792.7752923285844,0.031170299642243562,1030.5637093273222,0.06279803995982497,828.2933817961032,0.12285232811979867
4,2,5.762933716533136,2.9194150779758203,38.57728224915915,458.1061139700395,471.40443158719296,615.9119711666376,0.010342058065445463,0.03404686190455325,6.411517184714501,838.9396041498372,0.03132319399802683,1108.3160299813417,0.0659731065942251,802.3001925398526,0.11234980103845635
4,3,4.8009269892756805,3.0320982981397866,30.892775646959215,443.8911460305047,357.5642279581156,721.8313658874611,0.0234424115775965,0.015225729046968048,6.770180717695247,743.4578568286239,0.03094313848743667,987.2456710500188,0.06525839355738319,777.1574041356191,0.1291196807122987
